2, 4512, Note_on_c, 0, 48, 0
2, 4512, Note_on_c, 0, 69, 0
2, 4512, Note_on_c, 0, 60, 0
2, 4512, Note_on_c, 0, 53, 42
2, 4512, Note_on_c, 0, 58, 49
2, 4512, Note_on_c, 0, 50, 49
2, 4512, Note_on_c, 0, 70, 64
2, 4608, Note_on_c, 0, 53, 0
2, 4608, Note_on_c, 0, 58, 0
2, 4608, Note_on_c, 0, 50, 0
2, 4608, Note_on_c, 0, 70, 0
2, 4608, Note_on_c, 0, 48, 50
2, 4608, Note_on_c, 0, 60, 42
2, 4608, Note_on_c, 0, 53, 47
2, 4608, Note_on_c, 0, 69, 65
2, 4752, Note_on_c, 0, 69, 0
2, 4752, Note_on_c, 0, 67, 58
2, 4800, Note_on_c, 0, 48, 0
2, 4800, Note_on_c, 0, 60, 0
2, 4800, Note_on_c, 0, 53, 0
2, 4800, Note_on_c, 0, 67, 0
2, 4800, Note_on_c, 0, 65, 57
2, 4800, Note_on_c, 0, 48, 42
2, 4800, Note_on_c, 0, 57, 42
2, 4800, Note_on_c, 0, 60, 40
2, 4896, Note_on_c, 0, 65, 0
2, 4896, Note_on_c, 0, 48, 0
2, 4896, Note_on_c, 0, 57, 0
2, 4896, Note_on_c, 0, 60, 0
2, 4896, Note_on_c, 0, 48, 43
2, 4896, Note_on_c, 0, 67, 64
2, 4896, Note_on_c, 0, 58, 43
2, 4896, Note_on_c, 0, 62, 44
2, 5088, Note_on_c, 0, 48, 0
2, 5088, Note_on_c, 0, 58, 0
2, 5088, Note_on_c, 0, 62, 0
2, 5088, Note_on_c, 0, 60, 43
2, 5088, Note_on_c, 0, 64, 41
2, 5088, Note_on_c, 0, 48, 42
2, 5088, Note_on_c, 0, 58, 46
2, 5184, Note_on_c, 0, 67, 0
2, 5184, Note_on_c, 0, 60, 0
2, 5184, Note_on_c, 0, 64, 0
2, 5184, Note_on_c, 0, 48, 0
2, 5184, Note_on_c, 0, 58, 0
2, 5184, Note_on_c, 0, 57, 43
2, 5184, Note_on_c, 0, 65, 55
2, 5184, Note_on_c, 0, 53, 49
2, 5184, Note_on_c, 0, 60, 43
2, 5376, Note_on_c, 0, 57, 0
2, 5376, Note_on_c, 0, 53, 0
2, 5376, Note_on_c, 0, 60, 0
2, 5376, Note_on_c, 0, 57, 44
2, 5376, Note_on_c, 0, 53, 40
2, 5376, Note_on_c, 0, 60, 48
2, 5472, Note_on_c, 0, 65, 0
2, 5472, Note_on_c, 0, 57, 0
2, 5472, Note_on_c, 0, 53, 0
2, 5472, Note_on_c, 0, 60, 0
2, 5472, Note_on_c, 0, 53, 47
2, 5472, Note_on_c, 0, 65, 41
2, 5472, Note_on_c, 0, 72, 86
2, 5472, Note_on_c, 0, 69, 50
2, 5472, Note_on_c, 0, 60, 41
2, 5664, Note_on_c, 0, 53, 0
2, 5664, Note_on_c, 0, 65, 0
2, 5664, Note_on_c, 0, 69, 0
2, 5664, Note_on_c, 0, 60, 0
2, 5664, Note_on_c, 0, 69, 45
2, 5664, Note_on_c, 0, 65, 44
2, 5664, Note_on_c, 0, 53, 47
2, 5664, Note_on_c, 0, 60, 42
2, 5760, Note_on_c, 0, 53, 0
2, 5760, Note_on_c, 0, 60, 0
2, 5760, Note_on_c, 0, 60, 45
2, 5760, Note_on_c, 0, 53, 41
2, 5952, Note_on_c, 0, 72, 0
2, 5952, Note_on_c, 0, 69, 0
2, 5952, Note_on_c, 0, 65, 0
2, 5952, Note_on_c, 0, 60, 0
2, 5952, Note_on_c, 0, 53, 0
2, 5952, Note_on_c, 0, 69, 42
2, 5952, Note_on_c, 0, 53, 49
2, 5952, Note_on_c, 0, 65, 45
2, 5952, Note_on_c, 0, 72, 62
2, 5952, Note_on_c, 0, 60, 49
2, 6048, Note_on_c, 0, 69, 0
2, 6048, Note_on_c, 0, 53, 0
2, 6048, Note_on_c, 0, 65, 0
2, 6048, Note_on_c, 0, 72, 0
2, 6048, Note_on_c, 0, 60, 0
2, 6048, Note_on_c, 0, 70, 42
2, 6048, Note_on_c, 0, 60, 43
2, 6048, Note_on_c, 0, 72, 60
2, 6048, Note_on_c, 0, 67, 41
2, 6048, Note_on_c, 0, 53, 48
2, 6240, Note_on_c, 0, 70, 0
2, 6240, Note_on_c, 0, 60, 0
2, 6240, Note_on_c, 0, 72, 0
